ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2017,"2017","5413","Architectural, engineering & related services","true","true",29705,64881.398148459855,6306.160940050928,4231.014544372146,1509,"Visual & Performing Arts","50"
2017,"2017","5415","Computer Systems Design","true","true",45245,83835.47291413415,7650.379020848396,5221.454298657589,2219,"Visual & Performing Arts","50"
2017,"2017","6111","Elementary & secondary schools","true","true",179632,47779.03368553487,1869.6130459723179,10399.06353187998,9513,"Visual & Performing Arts","50"
2017,"2017","611M1","Colleges, universities & professional schools, including junior colleges","true","true",142098,52034.29684443131,2758.4740127153214,9250.246444932227,7530,"Visual & Performing Arts","50"
2016,"2016","23","Construction","true","true",34054,56098.17243201973,7409.904736227631,4530.084481037647,1636,"Visual & Performing Arts","50"
2016,"2016","5413","Architectural, engineering & related services","true","true",28542,63294.98728190036,6439.452385508614,4147.371496307855,1423,"Visual & Performing Arts","50"
2016,"2016","5415","Computer Systems Design","true","true",41066,79747.90264452345,7664.000936660154,4974.5364817951395,1960,"Visual & Performing Arts","50"
2016,"2016","6111","Elementary & secondary schools","true","true",175509,46652.6124757135,1810.2047955479736,10279.065218733329,9267,"Visual & Performing Arts","50"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",138329,50657.460207187214,2723.2536659614448,9126.787651312094,7293,"Visual & Performing Arts","50"
2015,"2015","23","Construction","true","true",31321,54431.20669838128,7510.416109168359,4344.536784319615,1482,"Visual & Performing Arts","50"
2015,"2015","5413","Architectural, engineering & related services","true","true",26896,62335.645114515166,6387.258219201322,4026.024866611597,1353,"Visual & Performing Arts","50"
2015,"2015","5415","Computer Systems Design","true","true",37559,80384.62094304961,8524.03150189608,4757.435413537915,1767,"Visual & Performing Arts","50"
2015,"2015","6111","Elementary & secondary schools","true","true",170614,45986.065627674165,1808.5884359115616,10134.785267478306,8949,"Visual & Performing Arts","50"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",136598,49204.0566552951,2676.9103492747195,9069.48769787678,7122,"Visual & Performing Arts","50"
2014,"2014","23","Construction","true","true",29884,52981.27897871771,7105.257394484873,4243.717824900229,1408,"Visual & Performing Arts","50"
2014,"2014","5413","Architectural, engineering & related services","true","true",26795,62517.725732412764,6774.706119766795,4018.453422973385,1358,"Visual & Performing Arts","50"
2014,"2014","5415","Computer Systems Design","true","true",34473,81020.96022974502,9226.88719604811,4557.842993070717,1622,"Visual & Performing Arts","50"
2014,"2014","6111","Elementary & secondary schools","true","true",165681,46391.90574054961,1800.249894599474,9987.273628148483,8781,"Visual & Performing Arts","50"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",134456,48472.56524811091,2636.016622172074,8998.093438964303,7051,"Visual & Performing Arts","50"
